GarageArea,FullBath,Fireplaces,MasVnrArea,BsmtFinSF1,LotFrontage
240,2,0,0.0,329,60.0
672,2,2,0.0,523,102.0
304,1,2,0.0,0,69.0
280,1,0,0.0,247,60.0
508,2,0,80.0,925,68.0
656,2,1,245.0,0,77.0
736,2,2,204.0,904,69.0
577,2,1,0.0,804,75.0
520,1,1,0.0,0,60.0
275,1,1,0.0,486,69.0
352,1,1,0.0,365,40.0
574,2,0,0.0,936,55.0
472,2,0,183.0,1162,78.0
528,1,1,180.0,1302,69.0
813,3,2,0.0,2096,160.0
534,2,1,0.0,0,92.0
457,2,1,16.0,16,43.0
350,1,0,0.0,0,68.0
702,2,0,0.0,0,122.0
0,1,0,104.0,816,81.0
625,1,0,0.0,0,60.0
280,1,0,0.0,0,88.0
528,1,0,0.0,0,59.0
431,2,1,0.0,0,69.0
701,2,1,234.0,485,90.0
504,1,0,0.0,841,75.0
312,2,1,0.0,0,115.0
384,1,0,0.0,241,50.0
542,2,1,123.0,0,46.0
338,1,1,0.0,460,36.0
336,2,1,0.0,0,50.0
480,1,0,156.0,763,80.0
0,1,0,0.0,206,70.0
834,2,0,228.0,0,73.0
515,1,0,168.0,836,79.0
418,1,1,0.0,1071,77.0
539,1,0,0.0,262,69.0
576,1,0,0.0,350,60.0
1052,3,1,340.0,1150,77.0
608,2,1,0.0,1180,39.0
528,2,1,0.0,1157,90.0
451,2,1,171.0,0,75.0
765,2,1,630.0,1274,85.0
512,2,1,360.0,0,80.0
502,2,1,0.0,0,69.0
618,2,0,0.0,656,76.0
200,1,0,0.0,236,60.0
0,1,0,0.0,0,56.0
435,2,1,0.0,0,48.0
1166,2,1,748.0,1904,63.0
0,1,0,0.0,614,69.0
0,1,0,0.0,625,69.0
506,1,0,0.0,504,70.0
418,1,2,238.0,1285,80.0
292,1,0,175.0,565,80.0
500,2,2,119.0,790,85.0
686,2,1,0.0,0,60.0
782,2,0,196.0,24,84.0
429,1,0,0.0,338,70.0
494,2,0,98.0,24,65.0
0,1,0,0.0,0,105.0
588,2,0,122.0,528,70.0
908,2,1,250.0,0,87.0
240,1,0,0.0,0,50.0
624,1,0,0.0,0,50.0
504,2,1,40.0,0,106.0
684,1,0,0.0,322,69.0
685,2,1,0.0,0,120.0
576,1,0,0.0,0,60.0
576,2,0,108.0,231,74.0
474,2,0,106.0,573,36.0
426,2,1,0.0,554,58.0
160,1,0,0.0,384,52.0
550,2,1,233.0,0,69.0
483,2,1,660.0,403,80.0
228,1,1,0.0,0,69.0
328,2,0,220.0,595,65.0
484,2,1,146.0,720,59.0
420,1,0,169.0,662,69.0
753,2,1,788.0,0,86.0
834,2,1,464.0,0,80.0
839,2,1,0.0,735,69.0
441,2,0,0.0,0,69.0
656,2,1,256.0,987,90.0
923,1,0,0.0,600,90.0
484,1,0,0.0,301,69.0
352,1,0,0.0,737,69.0
528,1,2,112.0,639,141.0
884,1,1,399.0,672,120.0
630,2,2,320.0,0,60.0
440,1,0,80.0,504,80.0
752,2,1,513.0,56,65.0
660,2,2,320.0,668,73.0
500,2,1,420.0,1220,85.0
506,2,1,60.0,1238,50.0
288,1,0,0.0,832,65.0
470,2,0,0.0,821,65.0
497,1,1,0.0,593,69.0
308,1,0,0.0,824,75.0
968,2,1,922.0,56,103.0
440,1,1,0.0,397,50.0
836,2,1,100.0,789,85.0
360,1,0,0.0,116,50.0
300,1,1,0.0,0,80.0
528,2,2,81.0,885,85.0
0,2,0,0.0,0,70.0
180,1,0,0.0,0,96.0
487,3,1,143.0,0,102.0
690,2,1,27.0,0,50.0
480,2,0,0.0,0,24.0
484,2,2,0.0,1247,100.0
506,2,0,564.0,0,87.0
642,1,1,0.0,216,60.0
779,2,1,165.0,0,108.0
312,1,2,224.0,386,79.0
872,2,1,388.0,970,99.0
480,1,0,0.0,732,85.0
472,2,1,32.0,428,64.0
884,1,0,166.0,661,71.0
478,2,1,174.0,0,78.0
0,2,0,0.0,0,65.0
583,2,1,0.0,144,78.0
352,1,0,0.0,0,63.0
318,2,1,196.0,695,69.0
475,2,0,289.0,533,69.0
800,2,1,0.0,0,72.0
213,1,2,0.0,547,69.0
514,2,1,99.0,1085,86.0
825,2,1,410.0,0,85.0
539,1,1,0.0,655,79.0
576,2,0,0.0,1200,79.0
666,2,1,579.0,816,56.0
576,1,0,0.0,298,57.0
546,1,1,0.0,16,60.0
360,2,1,0.0,0,52.0
588,2,2,225.0,1036,69.0
423,2,0,0.0,660,75.0
578,2,0,0.0,20,68.0
297,1,1,74.0,616,72.0
520,2,0,0.0,0,67.0
290,1,0,0.0,0,69.0
530,2,1,232.0,562,69.0
392,1,0,0.0,392,60.0
216,1,0,0.0,0,60.0
280,1,0,127.0,321,21.0
719,2,1,0.0,738,114.0
396,1,0,0.0,836,67.0
570,2,0,210.0,20,63.0
1069,2,1,731.0,781,69.0
576,2,1,287.0,912,69.0
632,2,0,24.0,686,64.0
352,2,0,335.0,0,81.0
0,2,0,0.0,1440,42.0
460,2,0,0.0,36,83.0
288,1,1,0.0,0,69.0
831,3,2,289.0,575,69.0
527,2,0,0.0,0,57.0
528,1,2,451.0,569,69.0
288,1,0,168.0,1016,70.0
462,2,1,284.0,0,121.0
280,1,1,0.0,732,60.0
532,1,0,0.0,0,60.0
0,1,0,0.0,0,51.0
627,2,1,108.0,24,34.0
576,2,2,0.0,500,85.0
576,2,0,0.0,0,69.0
398,2,1,0.0,759,62.0
676,1,1,0.0,982,78.0
338,2,1,183.0,620,80.0
240,1,1,0.0,0,50.0
672,3,1,500.0,0,64.0
484,1,0,153.0,560,71.0
608,2,1,162.0,486,68.0
636,2,1,186.0,1369,75.0
240,1,1,0.0,680,50.0
576,1,1,0.0,988,69.0
905,2,1,396.0,0,69.0
550,2,1,96.0,315,80.0
447,1,1,64.0,360,72.0
286,1,0,0.0,369,70.0
772,2,1,200.0,1218,98.0
478,2,1,160.0,644,104.0
776,2,1,0.0,0,81.0
660,2,1,130.0,988,51.0
573,2,0,0.0,0,70.0
544,2,0,110.0,788,67.0
484,1,1,288.0,247,80.0
528,1,1,0.0,1309,144.0
673,2,0,0.0,503,64.0
890,2,1,640.0,0,110.0
676,2,1,200.0,1249,86.0
650,2,0,0.0,0,83.0
826,2,0,0.0,24,84.0
273,1,0,0.0,0,60.0
706,2,2,870.0,1410,56.0
576,2,1,272.0,490,100.0
192,1,1,0.0,0,69.0
576,1,0,0.0,716,43.0
540,1,2,0.0,938,69.0
384,1,0,0.0,1056,69.0
758,2,2,160.0,1320,42.0
427,2,1,40.0,0,74.0
480,2,1,0.0,444,70.0
493,2,0,95.0,0,68.0
576,2,1,412.0,456,61.0
600,2,1,1.0,498,69.0
884,3,1,762.0,2260,130.0
0,1,0,0.0,784,50.0
544,1,0,0.0,932,85.0
459,1,1,51.0,547,75.0
440,2,1,328.0,438,69.0
0,1,0,0.0,0,50.0
480,2,0,0.0,0,30.0
398,2,1,18.0,0,69.0
792,2,0,0.0,0,65.0
400,1,2,0.0,0,69.0
528,2,0,144.0,656,80.0
288,1,0,75.0,599,69.0
576,1,0,0.0,941,63.0
432,1,0,0.0,713,80.0
596,2,1,113.0,187,69.0
632,2,0,82.0,724,64.0
352,1,0,0.0,390,60.0
575,2,1,340.0,421,82.0
592,2,1,530.0,956,78.0
282,1,2,0.0,0,53.0
460,2,1,0.0,0,62.0
533,2,1,0.0,165,50.0
252,1,1,98.0,0,60.0
606,2,1,450.0,1646,83.0
325,2,0,0.0,444,75.0
504,1,0,0.0,747,69.0
474,2,0,106.0,0,36.0
240,1,0,0.0,312,50.0
779,2,1,0.0,0,69.0
516,1,0,0.0,104,110.0
786,2,0,178.0,1002,69.0
456,1,0,0.0,1088,98.0
240,2,2,0.0,364,53.0
620,2,1,366.0,976,88.0
722,2,1,80.0,0,89.0
484,2,0,0.0,0,63.0
766,3,0,70.0,0,82.0
656,2,1,340.0,0,93.0
509,2,1,576.0,448,100.0
480,2,0,0.0,0,30.0
648,2,1,768.0,0,75.0
648,2,1,72.0,0,69.0
739,2,2,351.0,1219,69.0
772,2,1,378.0,1261,98.0
0,2,0,0.0,351,62.0
500,2,0,101.0,0,72.0
0,1,0,0.0,0,69.0
578,2,1,0.0,247,137.0
472,2,1,0.0,767,40.0
472,2,2,0.0,828,59.0
432,1,0,48.0,520,73.0
768,2,1,340.0,1234,86.0
280,1,0,110.0,354,80.0
288,1,1,0.0,465,65.0
410,2,0,0.0,0,64.0
0,1,0,0.0,495,21.0
286,1,0,0.0,273,21.0
840,2,2,300.0,1572,108.0
456,1,0,136.0,572,75.0
895,2,1,428.0,0,75.0
843,2,1,150.0,0,118.0
404,2,0,0.0,666,70.0
492,2,0,456.0,0,24.0
577,2,0,125.0,0,93.0
264,1,0,604.0,358,21.0
234,1,0,0.0,344,50.0
240,2,1,0.0,378,60.0
888,2,0,246.0,1464,80.0
430,1,0,0.0,0,74.0
0,1,1,0.0,0,77.0
416,2,2,106.0,1186,110.0
389,2,2,472.0,697,69.0
533,2,0,0.0,1201,80.0
540,1,1,272.0,442,100.0
360,1,0,0.0,565,69.0
684,2,0,0.0,648,69.0
672,2,1,0.0,0,79.0
447,1,1,0.0,1018,70.0
472,2,1,0.0,786,58.0
198,2,1,0.0,0,50.0
480,1,1,0.0,0,73.0
704,1,0,0.0,0,60.0
720,1,1,0.0,0,100.0
308,1,0,0.0,708,73.0
479,2,1,189.0,0,80.0
615,2,1,571.0,0,69.0
240,1,0,0.0,336,50.0
400,2,1,22.0,0,69.0
455,2,1,0.0,862,92.0
758,2,1,468.0,33,78.0
529,1,2,0.0,1116,69.0
0,1,0,0.0,0,60.0
779,2,0,0.0,0,60.0
868,2,0,0.0,464,73.0
436,2,0,0.0,0,73.0
440,1,0,0.0,0,40.0
478,2,1,162.0,1121,85.0
402,2,1,38.0,0,63.0
480,2,0,0.0,338,81.0
500,1,1,0.0,734,69.0
373,2,1,0.0,0,69.0
586,0,1,0.0,1258,69.0
390,2,1,298.0,772,69.0
525,1,1,541.0,111,69.0
240,1,2,600.0,224,69.0
261,1,0,192.0,903,61.0
576,2,1,0.0,837,42.0
564,2,0,0.0,0,68.0
621,2,1,0.0,351,95.0
484,2,1,178.0,24,44.0
572,2,0,68.0,905,60.0
510,2,1,44.0,624,80.0
818,2,0,254.0,0,93.0
576,1,0,0.0,524,70.0
380,2,0,50.0,0,24.0
368,2,1,0.0,0,69.0
270,1,0,0.0,428,79.0
594,3,2,0.0,1470,90.0
0,1,0,0.0,0,60.0
0,1,0,0.0,0,55.0
396,1,0,0.0,656,70.0
205,1,2,0.0,851,50.0
308,1,0,0.0,331,50.0
400,2,1,0.0,0,65.0
429,2,1,302.0,0,66.0
420,1,0,170.0,685,69.0
846,2,1,272.0,1280,96.0
216,1,1,0.0,0,50.0
540,2,2,0.0,626,120.0
570,1,0,0.0,637,60.0
1418,2,3,796.0,5644,313.0
484,1,1,0.0,457,69.0
552,2,0,110.0,544,75.0
548,2,0,0.0,0,60.0
508,2,1,0.0,297,69.0
504,2,0,336.0,1332,70.0
603,2,0,0.0,400,75.0
286,1,0,120.0,586,72.0
572,2,0,0.0,0,65.0
0,2,0,0.0,259,50.0
438,2,1,442.0,786,73.0
670,2,1,479.0,1358,69.0
451,2,1,0.0,57,69.0
528,1,0,0.0,0,60.0
308,1,0,0.0,210,57.0
662,2,1,0.0,0,64.0
160,1,0,0.0,324,52.0
527,2,1,0.0,353,69.0
467,2,1,310.0,678,69.0
0,1,0,0.0,0,90.0
484,2,2,240.0,859,69.0
595,2,0,0.0,0,72.0
575,2,1,258.0,1138,65.0
440,1,1,0.0,375,60.0
528,1,1,0.0,874,44.0
602,1,1,104.0,1097,69.0
240,1,0,0.0,1040,68.0
189,1,0,0.0,0,60.0
626,2,0,106.0,0,63.0
450,1,0,0.0,702,57.0
1043,2,1,0.0,0,85.0
564,2,1,172.0,361,80.0
280,1,0,0.0,348,60.0
264,1,0,0.0,623,50.0
240,1,2,0.0,410,75.0
389,2,1,0.0,0,69.0
720,2,0,0.0,507,71.0
453,2,1,0.0,0,62.0
422,2,1,0.0,0,168.0
630,2,1,360.0,686,80.0
462,2,0,212.0,510,24.0
216,2,1,0.0,168,60.0
672,2,2,200.0,1767,105.0
502,2,0,0.0,0,60.0
807,3,1,1378.0,1387,118.0
721,2,1,290.0,565,82.0
528,1,0,0.0,0,74.0
336,1,1,0.0,842,70.0
615,2,0,0.0,0,65.0
248,1,0,132.0,492,75.0
644,2,1,0.0,822,72.0
440,1,0,0.0,0,60.0
0,1,0,120.0,680,63.0
280,1,0,0.0,0,45.0
442,1,0,360.0,674,80.0
574,2,1,246.0,750,80.0
300,2,0,0.0,551,54.0
392,2,1,170.0,0,69.0
280,1,1,0.0,0,58.0
529,2,0,0.0,0,72.0
471,2,0,136.0,1005,69.0
299,1,0,0.0,495,65.0
240,2,1,0.0,0,60.0
947,2,1,350.0,0,109.0
388,2,1,16.0,0,43.0
676,2,0,0.0,27,75.0
306,1,1,0.0,0,57.0
440,2,1,0.0,257,24.0
255,1,0,0.0,0,59.0
498,2,2,30.0,1270,69.0
0,1,0,0.0,0,58.0
548,2,0,196.0,706,65.0
470,1,1,0.0,773,69.0
538,2,0,0.0,249,69.0
400,2,0,0.0,0,73.0
624,1,0,0.0,630,80.0
888,1,0,335.0,539,69.0
565,2,0,0.0,0,89.0
256,2,0,0.0,0,50.0
312,1,1,84.0,719,124.0
461,1,2,324.0,697,73.0
390,2,1,0.0,0,149.0
504,2,1,0.0,495,44.0
270,1,0,0.0,0,70.0
0,1,0,0.0,490,60.0
505,2,1,0.0,425,313.0
600,2,1,219.0,783,85.0
343,2,1,0.0,0,65.0
576,1,0,160.0,789,60.0
420,1,0,0.0,0,60.0
420,2,0,0.0,0,60.0
216,1,1,0.0,352,54.0
550,2,1,0.0,64,75.0
528,1,2,132.0,176,134.0
416,2,0,0.0,686,60.0
678,2,1,0.0,50,59.0
538,2,1,481.0,1573,44.0
667,2,1,0.0,603,81.0
1020,3,1,424.0,0,107.0
390,2,1,40.0,695,69.0
375,1,2,56.0,841,90.0
400,1,0,0.0,552,68.0
473,1,2,0.0,1619,32.0
525,2,2,448.0,1000,81.0
461,1,2,425.0,553,80.0
297,1,0,0.0,111,70.0
0,1,0,0.0,0,50.0
613,2,1,223.0,483,44.0
566,2,1,120.0,712,69.0
0,1,0,0.0,495,60.0
770,2,1,66.0,1447,129.0
440,2,0,0.0,213,91.0
529,2,1,126.0,1246,69.0
216,2,0,0.0,370,40.0
319,1,2,0.0,1277,47.0
583,2,1,333.0,0,69.0
380,2,0,50.0,0,24.0
522,2,2,0.0,1065,93.0
0,1,0,0.0,544,70.0
0,1,0,0.0,0,40.0
511,2,1,653.0,0,69.0
789,1,1,300.0,1288,86.0
512,2,1,0.0,0,70.0
504,1,1,491.0,288,80.0
546,2,0,0.0,706,69.0
482,2,1,186.0,1480,64.0
324,1,0,0.0,624,50.0
450,1,0,0.0,489,51.0
240,1,2,0.0,403,79.0
490,1,0,104.0,320,85.0
0,1,0,236.0,0,21.0
528,1,0,0.0,672,74.0
0,1,0,0.0,0,55.0
270,1,1,0.0,0,60.0
490,1,0,183.0,312,82.0
440,2,2,0.0,625,69.0
541,2,1,202.0,252,75.0
299,1,0,153.0,378,69.0
532,2,1,226.0,1201,95.0
624,1,0,0.0,405,75.0
240,1,0,0.0,672,50.0
434,2,1,0.0,550,85.0
750,2,1,336.0,482,69.0
840,2,2,0.0,0,90.0
308,1,2,0.0,967,115.0
628,2,2,293.0,965,42.0
0,2,0,0.0,0,85.0
246,1,0,0.0,731,68.0
612,1,1,0.0,1441,79.0
808,2,1,236.0,1300,85.0
531,1,0,180.0,1000,69.0
754,2,0,84.0,929,49.0
402,2,0,116.0,897,32.0
866,2,1,248.0,0,98.0
576,1,1,0.0,0,60.0
270,1,1,0.0,188,69.0
440,2,1,0.0,556,24.0
246,1,0,0.0,290,60.0
220,1,0,0.0,0,47.0
288,1,0,60.0,432,65.0
540,1,0,120.0,803,70.0
514,1,2,247.0,609,69.0
400,2,0,360.0,0,60.0
420,1,0,170.0,659,36.0
484,2,1,54.0,1053,50.0
360,1,0,0.0,0,60.0
300,1,0,0.0,0,69.0
439,1,1,0.0,1084,80.0
490,2,1,344.0,694,69.0
560,2,0,0.0,1606,63.0
504,1,0,0.0,0,30.0
297,1,0,0.0,462,21.0
528,2,0,76.0,294,30.0
288,1,1,297.0,0,21.0
493,2,1,0.0,642,70.0
596,1,0,0.0,739,68.0
564,2,1,233.0,605,69.0
521,2,1,268.0,831,97.0
576,1,0,0.0,646,66.0
480,1,1,359.0,528,69.0
264,1,0,281.0,317,21.0
294,1,0,0.0,0,60.0
461,1,0,0.0,0,69.0
336,1,0,90.0,646,69.0
758,2,1,238.0,1422,69.0
288,1,0,0.0,0,60.0
576,1,0,300.0,595,72.0
671,2,1,348.0,524,92.0
264,1,0,0.0,658,37.0
414,1,0,0.0,0,74.0
400,2,0,0.0,0,60.0
338,1,0,0.0,315,90.0
732,2,1,315.0,0,107.0
434,2,1,0.0,0,59.0
576,1,0,0.0,0,51.0
244,1,1,200.0,540,78.0
308,1,0,0.0,250,50.0
672,1,0,0.0,0,112.0
320,1,2,0.0,390,60.0
271,1,0,0.0,120,80.0
576,1,2,216.0,0,120.0
280,1,1,0.0,0,50.0
860,2,1,270.0,0,61.0
569,1,0,0.0,1106,35.0
624,1,0,0.0,619,54.0
924,1,1,72.0,728,69.0
567,2,1,0.0,945,60.0
0,3,0,0.0,1200,60.0
484,1,0,138.0,626,69.0
601,1,1,0.0,528,87.0
513,1,0,0.0,0,34.0
672,2,1,0.0,0,69.0
0,1,2,0.0,266,69.0
440,2,1,0.0,311,24.0
300,1,0,0.0,612,70.0
528,1,0,0.0,616,60.0
888,2,0,95.0,0,85.0
304,1,1,0.0,775,65.0
0,0,0,0.0,350,69.0
484,2,1,432.0,578,69.0
379,2,0,0.0,0,60.0
588,2,0,158.0,633,68.0
484,2,1,44.0,381,69.0
264,1,0,285.0,356,21.0
1220,2,1,816.0,1636,114.0
440,2,1,0.0,566,24.0
276,1,0,0.0,830,75.0
393,2,1,0.0,457,69.0
180,2,1,0.0,774,61.0
864,2,1,0.0,1128,86.0
544,1,1,0.0,0,50.0
264,1,0,105.0,513,75.0
0,2,0,0.0,1084,67.0
530,2,1,99.0,922,88.0
384,1,0,0.0,0,70.0
0,1,0,0.0,588,60.0
360,3,1,0.0,0,75.0
326,1,0,0.0,415,90.0
642,2,1,245.0,0,88.0
878,2,1,178.0,0,80.0
288,1,0,89.0,450,65.0
736,3,2,286.0,998,85.0
600,1,0,0.0,777,60.0
529,2,0,0.0,430,50.0
420,1,1,147.0,697,69.0
225,1,1,0.0,0,65.0
336,2,1,0.0,548,41.0
460,2,1,256.0,20,61.0
400,2,1,40.0,0,69.0
576,2,1,456.0,57,134.0
483,1,1,415.0,400,71.0
250,1,0,0.0,0,60.0
660,2,1,180.0,1334,68.0
529,2,2,0.0,1249,69.0
377,1,1,0.0,831,80.0
286,1,0,0.0,509,21.0
900,2,1,305.0,1436,94.0
528,2,0,0.0,643,70.0
484,2,1,0.0,24,70.0
432,2,0,0.0,0,60.0
440,1,0,0.0,405,60.0
826,2,0,0.0,0,74.0
336,1,2,0.0,777,90.0
534,2,1,281.0,0,75.0
400,2,0,106.0,560,69.0
840,2,1,194.0,0,78.0
431,2,0,0.0,0,85.0
0,1,0,0.0,0,60.0
908,2,1,304.0,1350,110.0
210,1,0,0.0,0,57.0
252,1,0,0.0,196,69.0
625,2,0,0.0,0,35.0
0,2,0,0.0,0,75.0
776,2,1,420.0,404,90.0
506,2,1,0.0,1046,60.0
550,2,1,108.0,0,43.0
205,1,0,0.0,616,50.0
368,1,0,0.0,915,69.0
564,1,1,0.0,429,69.0
480,1,0,0.0,746,60.0
240,1,0,0.0,49,68.0
444,2,0,157.0,568,69.0
572,1,2,85.0,594,69.0
672,2,1,0.0,0,76.0
264,1,0,63.0,507,65.0
487,2,1,0.0,998,70.0
420,2,1,18.0,0,69.0
440,1,0,0.0,197,40.0
624,1,0,0.0,521,70.0
260,1,0,0.0,480,80.0
844,2,1,391.0,740,92.0
397,2,1,11.0,16,43.0
288,1,1,116.0,170,69.0
360,2,0,0.0,0,60.0
458,1,2,387.0,1040,80.0
390,2,1,0.0,0,65.0
312,1,0,54.0,806,72.0
0,2,0,0.0,256,60.0
576,1,1,0.0,72,69.0
924,1,1,0.0,403,71.0
264,1,0,381.0,0,21.0
528,1,0,108.0,0,52.0
433,2,1,0.0,0,69.0
870,2,1,274.0,0,67.0
670,1,1,0.0,1351,48.0
390,2,0,621.0,812,69.0
424,1,1,0.0,216,121.0
648,1,0,0.0,633,94.0
275,1,0,1.0,456,70.0
836,2,1,350.0,655,84.0
528,2,0,164.0,0,69.0
1014,3,2,632.0,192,69.0
484,1,0,0.0,234,50.0
621,3,0,0.0,0,51.0
440,1,0,312.0,765,24.0
648,2,1,72.0,0,53.0
824,2,1,53.0,24,75.0
299,1,0,0.0,75,69.0
264,1,0,158.0,330,21.0
380,2,0,117.0,0,32.0
870,3,1,0.0,0,87.0
492,2,0,0.0,427,152.0
513,2,2,0.0,1236,150.0
240,1,0,0.0,0,69.0
288,1,0,82.0,349,70.0
388,2,0,0.0,182,69.0
840,1,0,0.0,852,60.0
540,2,1,260.0,808,69.0
472,1,0,180.0,196,100.0
928,2,1,328.0,1004,93.0
528,1,0,0.0,368,69.0
474,2,0,106.0,567,36.0
216,1,0,0.0,0,60.0
438,2,0,100.0,812,65.0
474,2,1,94.0,0,40.0
840,3,0,370.0,0,111.0
294,1,0,0.0,504,70.0
486,2,0,30.0,0,58.0
691,3,1,132.0,0,108.0
393,2,1,0.0,0,63.0
527,2,1,0.0,20,65.0
496,2,0,88.0,1200,69.0
308,2,0,0.0,0,63.0
471,2,0,105.0,814,70.0
576,1,0,0.0,600,69.0
440,2,0,360.0,549,24.0
560,2,0,0.0,0,85.0
604,2,1,102.0,929,80.0
630,2,1,0.0,1300,182.0
0,2,1,0.0,0,35.0
286,1,0,0.0,515,21.0
312,1,0,0.0,0,84.0
619,2,1,424.0,896,69.0
645,1,1,115.0,564,69.0
440,1,0,261.0,0,87.0
577,2,1,0.0,828,69.0
600,1,2,0.0,943,69.0
216,2,1,0.0,264,51.0
516,2,0,0.0,0,72.0
0,1,1,0.0,116,55.0
486,2,1,342.0,552,69.0
588,1,0,210.0,867,69.0
440,2,0,0.0,958,69.0
440,2,2,0.0,297,70.0
495,1,1,0.0,645,98.0
440,2,1,340.0,536,80.0
528,1,0,243.0,0,80.0
